State,Post Office abbreviation,2-DIGIT ANSI code,Total,Deaths due to Diseases,"Deaths due to Accidents,Injury by firearms,Assault",Diseases of Heart,Malignant neoplasms (cancer),Cerebrovascular diseases,Chronic lower respiratory disease,Total Accidents,Motor vehicle accidents,Diabetes mellitus,Alzheimer's disease,Influenza and pneumonia,"Nephritis, nephrotic syndrome and nephrosis",Injury by firearms,Intentional self-harm (suicide),Assault (homicide),Human immunodeficiency virus (HIV)
Alabama,AL,1,952.4,657.6,92.8,253.3,197.7,55.3,46.7,53.8,26.6,29.3,30.3,18.6,22.2,16.8,12.4,9.8,4.2
Alaska,AK,2,775.9,505.4,95.1,167.2,177.4,47.2,37.2,51.9,13.1,25.6,24.7,13.5,12.6,17.1,20,6.1,(S)
Arizona,AZ,4,724.1,477.8,94.6,164.2,155.7,34.5,43.7,53.8,21.4,19,31.4,18.1,8.8,15.9,16,8.9,2.4
Arkansas ,AR,5,888.9,632,86,233,196,58.8,47.4,49.1,25.9,26.9,23.9,23.9,19.3,15.1,13.3,8.5,2.8
California,CA,6,700.2,518.1,56.8,192.5,162.3,44.9,39.1,31.6,12.2,22.1,24.1,21.8,8,9.1,9.2,6.9,3.3
Colorado,CO,8,716.8,471,71.4,151.6,157.7,38.9,49.3,42.1,12.3,16.6,27.7,15.4,12.1,10.4,15.2,3.7,1.7
Connecticut,CT,9,714.8,497.9,51.5,177.3,177.8,36.3,35.5,34.6,10.1,19.2,16.2,18.5,13.7,5,8,3.9,3.4
Delaware,DE,10,784,550.4,63.6,201.2,191.4,41.7,37.5,37.9,16.4,20.5,20.4,15.1,16.5,9.2,10.4,6.1,6.1
District of Columbia,DC,11,892.9,627,87.1,260,198.7,36.9,21.5,38.1,6.8,30.6,18.3,12.6,11.1,20.6,5.1,23.3,37.3
Florida,FL,12,711.3,486.9,76.7,175.1,172,35.3,35.9,46,18.9,21.7,17,9.7,10.5,11.1,12.6,7,9.7
Georgia ,GA,13,858.8,584.9,73.1,213.2,180.4,51.3,45.1,43.8,18.9,20.6,25.7,19.7,21.7,12.2,10,7.1,7.2
Hawaii,HI,15,629.6,415.7,45.5,147.2,147.6,43.2,19.4,31.7,11.9,18.1,12.2,16.2,11.8,2.5,9.2,2.1,(S)
Idaho,ID,16,747.4,506.2,77.8,168.5,163.2,51.8,46.6,47,20.4,23,28.1,15.8,9.2,12.6,15.6,2.6,(S)
