Fiscal Year,Department Name,Fund Name,Unit Name,Expenditure Category,Object Name,Actual Expenses,Current Expense Budget
2022,Norfolk Community Services Board,Community Services Board,Homeless Initiatives,Contractual Services,Traveling Expense,0.23,1733
2022,Norfolk Community Services Board,Community Services Board,Infant Toddler Connection (ITCN),Contractual Services,Traveling Expense,1.13,567
2022,Norfolk Community Services Board,Community Services Board,Board Operations,Contractual Services,Parking Validations,1.5,0
2022,Public Works,General Fund,Directors Office Public Works,"Materials, Supplies, and Repairs",Chargeouts-Mail Room,1.96,5460
2022,Norfolk Community Services Board,Community Services Board,Clinical Acute Services Administration,Contractual Services,Traveling Expense,2.25,0
2022,Norfolk Community Services Board,Community Services Board,Child and Adolesent SVCS ADMIN,Contractual Services,Traveling Expense,2.46,0
2022,Human Services,General Fund,Social Services,Contractual Services,Parking Validations,3,0
2022,Norfolk Community Services Board,Community Services Board,Intake,Contractual Services,Traveling Expense,3.38,0
2022,Communications and Technology,General Fund,Information Technology,"Materials, Supplies, and Repairs",Chargeouts-Mail Room,3.65,500
2022,Norfolk Community Services Board,Community Services Board,Youth Forensic Services,Contractual Services,Traveling Expense,4,0
2022,Public Works,General Fund,Directors Office Public Works,"Materials, Supplies, and Repairs",EZ Pass,5,100
2022,Norfolk Community Services Board,Community Services Board,Integrated Care Clinic,Contractual Services,Traveling Expense,5.63,5003
2022,Fire-Rescue,General Fund,Training,"Materials, Supplies, and Repairs",Supplies-Cleaning & Household,5.97,400
2022,Norfolk Community Services Board,Community Services Board,Community Integration,Personnel Services,Semi-Monthly/Monthly Overtime,6.05,0
2022,Transportation,General Fund,Directors Office,Personnel Services,Semi-Monthly/Monthly Overtime,6.93,0
2022,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Personnel Services,Semi-Monthly/Monthly Overtime,7.2,858
2022,Norfolk Community Services Board,Community Services Board,Housing & Homeless Services,Personnel Services,Semi-Monthly/Monthly Overtime,7.58,0
2022,Norfolk Community Services Board,Community Services Board,Jail Diversion Planning,Contractual Services,Traveling Expense,10.5,400
2022,Norfolk Community Services Board,Community Services Board,Community Integration,Contractual Services,Other Contractual Services,10.8,620
2022,The National Maritime Center,Maritime Center,Schools & Education Services,Personnel Services,Semi-Monthly/Monthly Overtime,11.03,0
2022,Office of Marketing and Communications,General Fund,Office of Marketing and Communications,Contractual Services,Parking Validations,12,0
2022,Norfolk Community Services Board,Community Services Board,Emergency Services,Contractual Services,Other Contractual Services,13.35,0
2022,Public Works,General Fund,Directors Office Public Works,"Materials, Supplies, and Repairs",Supplies-Cleaning & Household,14.84,0
2022,Storm Water Management,Storm Water Utility Fund,Storm Water Operations,"Materials, Supplies, and Repairs",Books-Under $1000,14.95,1000
2022,Norfolk Community Services Board,Community Services Board,MH Case Management,Public Assistance,General Relief,15.8,620
2022,Norfolk Community Services Board,Community Services Board,Mental Health Services Admin,Contractual Services,Traveling Expense,16.66,0
2022,The National Maritime Center,Maritime Center,Operation & Admin Support,"Materials, Supplies, and Repairs",Supplies-Electrical & Mech,16.95,10060
2022,Fire-Rescue,General Fund,Administration,"Materials, Supplies, and Repairs",Books-Under $1000,16.99,165
2022,Neighborhood Development,General Fund,Neighborhood Quality,Equipment,Technology Equipment,17.12,8900
2022,Police,General Fund,Detective,"Materials, Supplies, and Repairs",Food,17.86,700
2022,Norfolk Community Services Board,Community Services Board,ID Case Management,Contractual Services,Other Contractual Services,18.46,8860
2022,Healthcare Fund,Int Service Fund-Healthcare,City-Administered Healthcare,"Materials, Supplies, and Repairs",Chargeouts-Mail Room,19.23,1350
2022,Norfolk Community Services Board,Community Services Board,Substance Use Disorder & BH Outpatient Services Admin,Contractual Services,Traveling Expense,22.25,500
2022,Norfolk Community Services Board,Community Services Board,Homeless Center 1050 Tidewater Dr,Contractual Services,Telephone,23,0
2022,Norfolk Community Services Board,Community Services Board,Board Operations,Contractual Services,Mileage,24.08,1622
2022,City Manager,General Fund,City Manager,Personnel Services,Semi-Monthly/Monthly Overtime,24.42,1500
2022,Cultural Facilities Arts Entertainment,General Fund,General Macarthur Memorial,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,24.94,300
2022,Neighborhood Development,General Fund,IMPACT Norfolk,Contractual Services,Employee Training Expense,24.99,2000
2022,The Department of Parks & Recreation (P&R),General Fund,Administrative Support,Contractual Services,Advertising,25.67,2748
2022,Storm Water Management,Storm Water Utility Fund,Storm Water Operations,"Materials, Supplies, and Repairs",Computer Software-Under $1000,25.68,3500
2022,Human Services,General Fund,Ysb - Secure Detention,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,26.15,0
2022,Finance Department,General Fund,Finance Director Office,Contractual Services,Parking Validations,29.5,2500
2022,Norfolk Community Services Board,Community Services Board,Housing & Homeless Services,Contractual Services,Traveling Expense,30.15,0
2022,Libraries,General Fund,Libaries,Personnel Services,Group Life Insurance Perm,31.56,0
2022,Finance Department,General Fund,City Controller,Personnel Services,Semi-Monthly/Monthly Overtime,31.68,0
2022,Norfolk Community Services Board,Community Services Board,SA Case Management,Personnel Services,Semi-Monthly/Monthly Overtime,31.84,0
2022,The National Maritime Center,Maritime Center,Visitors Services,Contractual Services,Cash Over/Short,32.66,500
2022,Waste Management,Waste Management,Waste Management,"Materials, Supplies, and Repairs",Repairs-Portable Equipment,33.92,2500
2022,The National Maritime Center,Maritime Center,Operation & Admin Support,Contractual Services,Traveling Expense,35,1500
2022,The National Maritime Center,Maritime Center,Schools & Education Services,Contractual Services,Traveling Expense,35,250
2022,The National Maritime Center,Maritime Center,USS Wisconsin,Personnel Services,Semi-Monthly/Monthly Overtime,35.44,0
2022,Water,Water Utility Fund,Utility Director Office,"Materials, Supplies, and Repairs",Food,35.46,2500
2022,Norfolk Community Services Board,Community Services Board,Homeless Project - Path,"Materials, Supplies, and Repairs",Supplies-Program,36.84,0
2022,Neighborhood Development,General Fund,Neighborhood Quality,"Materials, Supplies, and Repairs","Gasoline, Fuel & Lubricants",37.16,0
2022,Norfolk Community Services Board,Community Services Board,MH Case Management,Public Assistance,Client Exp-Food,37.84,554
2022,Norfolk Community Services Board,Community Services Board,Mental Health Court,Contractual Services,Traveling Expense,38,341
2022,Norfolk Community Services Board,Community Services Board,Housing & Homeless Services,"Materials, Supplies, and Repairs",Supplies-Program,39.82,0
2022,Norfolk Community Services Board,Community Services Board,Board Operations,"Materials, Supplies, and Repairs",Postage - Commercial,39.88,17652
2022,Norfolk Community Services Board,Community Services Board,Intake,"Materials, Supplies, and Repairs",Supplies-Program,40,0
2022,General Services,General Fund,Office of Real Estate Management,Personnel Services,Social Security Fica Tax,41.77,0
2022,Parking Facilities Fund,Parking Facilities,Operations,Contractual Services,Traveling Expense,43.44,4380
2022,City Real Estate Assessor,General Fund,City Real Estate Assessor,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,43.67,1535
2022,Norfolk Community Services Board,Community Services Board,Administrative Services,Contractual Services,Traveling Expense,45,262
2022,Norfolk Community Services Board,Community Services Board,Emergency Services,Public Assistance,Client Exp-Transportation,46.2,50
2022,Norfolk Community Services Board,Community Services Board,Jail Diversion Planning,Personnel Services,Semi-Monthly/Monthly Overtime,48.25,0
2022,Public Works,General Fund,Surveys,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,48.64,500
2022,Human Services,General Fund,Home Based Child Care LO,Personnel Services,Semi-Monthly/Monthly Overtime,49.4,0
2022,Norfolk Community Services Board,Community Services Board,Homeless Center 1050 Tidewater Dr,Personnel Services,Social Security Fica Tax,50,0
2022,Norfolk Community Services Board,Community Services Board,Forensic Services Admin,"Materials, Supplies, and Repairs",Supplies-Office,51.69,0
2022,Libraries,General Fund,Collection and Support Services,Personnel Services,Semi-Monthly/Monthly Overtime,52.52,0
