Fiscal Year,Department Name,Unit Name,Fund Name,Revenue Source Name,Revenue Name,Total Collected,Total Budgeted
2022,Healthcare Fund,NPS Healthcare,Int Service Fund-Healthcare,Isf Collections-Agencies,Charges for Services,47392129.47,53911474
2022,Healthcare Fund,City of Norfolk Healthcare,Int Service Fund-Healthcare,Isf Collections-Agencies,Charges for Services,40798210.99,49148593
2022,Wastewater,Division Of Sewers,Waste Water Utility Fund,Fees-Wastewater Maintenance,Charges for Services,35269556.3,34365723
2022,Public Works,Street Const & Maint Projects,General Fund,Street Const & Maint,Categorical Aid - Virginia,26138072,26076500
2022,Water,Divison Of Water Accounts,Water Utility Fund,Water Sales-Residential,Charges for Services,26129224.22,25089374
2022,Water,Divison Of Water Accounts,Water Utility Fund,Water Sales-Va Beach,Charges for Services,25812109.31,25159449
2022,Finance Department,Finance Director Office,General Fund,Rollover From Last Year,Other Sources and Transfers In,24117000,24117000
2022,Storm Water Management,Storm Water Operations,Storm Water Utility Fund,Fees-Storm Water Management,Charges for Services,22301498.76,21949906
2022,Waste Management,Waste Management,Waste Management,Fees-Refuse Disposal,Charges for Services,20244662.12,21465692
2022,Human Services,Social Services,General Fund,Federal Public Assistance,,19390210.18,0
2022,Sheriff,Sheriff And Jail,General Fund,Sh Exp-Sheriff,Shared Expenses,16760714.21,17105515
2022,Police,Field Operations,General Fund,Law Enforcement,Non-Categorical Aid - Virginia,12429284,12428100
2022,Water,Divison Of Water Accounts,Water Utility Fund,Water Sales-Us Navy-Norfolk,Charges for Services,10969476.06,9922230
2022,Water,Divison Of Water Accounts,Water Utility Fund,Water Sales-Commercial,Charges for Services,8858254.83,9160100
2022,Finance Department,Finance Director Office,General Fund,Return Fr Water Utility Fund,Other Sources and Transfers In,8500000,8500000
2022,Fire-Rescue,Dept Of Fire - Rescue Services,General Fund,Paramedical Rescue Service,Charges for Services,7083384.56,7000000
2022,Tax Increment Financing,Tax Incentive,Tax Increment,Real Prop-Current,General Property Taxes,6768400,6768400
2022,Human Services,Social Services,General Fund,Social Srvcs Admin-Comm Of Va,Categorical Aid - Virginia,6759894.43,25772702
2022,Public Amenities,Public Amenities,Public Amenities,Taxes-Restaurant Food,Other Local Taxes,6703160.03,5554000
2022,Water,Divison Of Water Accounts,Water Utility Fund,WATER SALES Virginia Beach,Charges for Services,5858800,4977273
2022,Water,Divison Of Water Accounts,Water Utility Fund,Water Sales-Wholesale/Chesapke,Charges for Services,5847816,5660429
2022,Int Service Fund-Auto Maint,Int Servic Fund-Auto Maint,Int Service Fund-Auto Maint,Isf Collections-General Fund,Charges for Services,5420308,5420288
2022,Parking Facilities Fund,Brambleton Lot,Parking Facilities,Sale Of Fixed Assets,Use of Money and Property,5387208.14,0
2022,Finance Department,Finance Director Office,General Fund,Trans Fr Sr Fund,Other Sources and Transfers In,5268400,5268400
2022,Finance Department,Finance Director Office,General Fund,Payments In Lieu Of Taxes,Miscellaneous Revenue,4870464.72,4818940
2022,Clerk of the Circuit Court,Clerk Of Circuit Court,General Fund,Taxes-Recordation,Other Local Taxes,4689998.71,3000000
2022,Water,Divison Of Water Accounts,Water Utility Fund,Water Sales-WTWA,Charges for Services,4566150,4479545
2022,Water,Divison Of Water Accounts,Water Utility Fund,Water Sales-Industrial,Charges for Services,4335381.03,3841946
2022,Human Services,Social Services,General Fund,Public Assist Grants,Categorical Aid - Virginia,4301190.18,9932000
2022,Parking Facilities Fund,Parking Ticket Division,Parking Facilities,Fines-Parking Violations,Fines and Forfeitures,3891921.06,2528022
2022,Finance Department,Finance Director Office,General Fund,Rental-General Properties,Use of Money and Property,3649420.17,3668270
2022,Water,Divison Of Water Accounts,Water Utility Fund,Water Sales-Raw,Charges for Services,3580444.42,3484091
2022,Emergency Preparedness and Response,Eoc-911,EOC-911,Taxes-Emergency 911,Other Local Taxes,3571596,3571596
2022,Finance Department,Finance Director Office,General Fund,Transfer From Pb,Other Sources and Transfers In,3500000,3500000
2022,Finance Department,Finance Director Office,General Fund,Fees - Navy-Ppv For Service,Miscellaneous Revenue,3444749.04,3167080
2022,Commonwealths Attorney,Commonwealth Attorney,General Fund,Sh Exp-Commonwealth Attorney,Shared Expenses,3100021.29,3069600
